Description,Category,Categories
opposition leader hakainde hichilema vice administration geoffrey bwalya mwamba tuesday denied access visit eight upnd incarcerated member currently detained kamfinsa correctional facility aggravated robbery charge monday copperbelt minister bowman lusambo wa allowed time see chat upnd official officiated 8230,politics,"politics, career"
state house home affair minister stephen kampyongo ha denied upnd president hakainde hichilema vice administration geoffrey bwalya mwamba access visit 8 upnd incarcerated member currently kamfinsa prison kitwe kamfinsa commanding officer charge james nkoloma said according instruction received state house 8230,politics,politics
konkola blade maintained twopoint lead top faz division one zone two table following 20 win mining ranger garden park stadium kitwe sunday skipper dickson chapa converted spot two minute kilo mwepu scored konkola8217s second goal last half konkola lead 8230,sports,uncategorized
health minister chitalu chilufya ha given uth management seven day ultimatum clear floor bed institution dr chilufya say floor bed pose health risk entertained ha also instructed health personnel uth ensure long queen patient seeking treatment especially government 8230,politics,"politics, health and wellness"
worker transafrica venture limited kitwe complained poor condition service company believed getting lot funding financier overseas pretext creating employment business transportation crushing worker spoke ground anonymity said company 8230,business,"career, business news"
government say soon implement stable predictable economic policy assist mining sector remain viable help attain economic recovery finance minister felix mutati said need country stable policy help achieve macroeconomic plan turn steer long 8230,politics,"politics, economy news"
lusaka’s hippest partygoer heading portico showgrounds saturday september 24 next installment flying fish beach party capital expected attract thousand following similar event earlier month kitwe musicloving sunworshipping reveller showed calling one 8230,entertainment,uncategorized
konkola blade back top faz division one zone two standing beating indeni 32 midweek rescheduled match played chililabombwe isaac ngoma kilo mwepu scored konkola delayed week 24 tie konkola stadium indeni scored goal later game indeni 8230,sports,uncategorized
wedson nyirenda ha shown hand debut zambia list includes surprise amongst usual suspect 33member provisional team calledup 2018 fifa world cup group b opener nigeria october 9 ndola first time postgeorge lwandamina era four power dynamo player 8230,sports,uncategorized
take look chipolopolo’s foreignbased player fared respective club weekend dr congo zambia captain rainford kalaba played opening 72 minute midfielder nathan sinkala full 90 minute tp mazembe8217s 11 away draw tunisia defending champion etoile du sahel saturday night 8230,sports,uncategorized
power dynamo 2016 barclays cup semifinal eliminating defending champion green buffalo power beat buffalo 21 nkoloma stadium lusaka sunday defeat defending champion second successive match two side met last weekend kitwe power beat buffalo 41 league game 8230,sports,uncategorized
zambia road safety trust saddened loss 25 life traffic accident occurred serenje thursday night trust wish send sincere condolence family victim also wish injured quick recovery return back normal 8230,other,development
nkana zanaco advanced semifinal 2016 barclays cup winning respective quarterfinal tie played doubleheader nkoloma stadium lusaka saturday lunchtime match tenman nkana came goal defeat kabwe youth soccer academy 31 nkana reduced 10 men four 8230,sports,sports
story graceland copper interesting dichotomy week lawmaker argentina moving attract new mine — philippine regulator striving shut downjust show people one important aspect mineral project equal geology infrastructure thing go 8230,other,development
